Population,LanguageGroup
Miao_Sichuan,Hmong_Mien
Miao_Guizhou,Hmong_Mien
Nanjing_Guizhou,Hmong_Mien
She_Fujian,Hmong_Mien
Yao_Guizhou,Hmong_Mien
Mongolian_Inner_Mongolia,Mongolic
Han_Shaanxi,Sinitic_N
Han_Shandong,Sinitic_N
Han_Shanxi,Sinitic_N
Han_Gansu,Sinitic_N
Han_Henan,Sinitic_N
Han_Guangxi,Sinitic_S
Han_Chongqing,Sinitic_S
Han_Guangdong,Sinitic_S
Han_Fujian,Sinitic_S
Han_Hainan,Sinitic_S
Han_Sichuan,Sinitic_S
Hui_Sichuan,Sinitic_S
Hui_Hainan,Sinitic_S
Tanka_Fujian,Sinitic_S
Bouyei_Guizhou,Tai_Kadai
Dong_Guizhou,Tai_Kadai
Li_Hainan,Tai_Kadai
Maonan_Guizhou,Tai_Kadai
Zhuang_Guangxi,Tai_Kadai
Bai_Guizhou,Tibeto_Burman
Qiang_Sichuan,Tibeto_Burman
Tibetan_Sichuan,Tibeto_Burman
Tibetan_Xizang,Tibeto_Burman
Tujia_Guizhou,Tibeto_Burman
Manchu_Guizhou,Tungusic
Black_Tai_Thailand,Tai_Kadai
Central_Thai_Thailand,Tai_Kadai
Colao_Vietnam,Tai_Kadai
Dao_Vietnam,Hmong_Mien
Ede_Vietnam,Austronesian
Giarai_Vietnam,Austronesian
Hanhi_Vietnam,Sino_Xizangan
Hmong_Thailand,Hmong_Mien
Hmong_Vietnam,Hmong_Mien
Htin_Thailand,Austroasiatic
IuMien_Thailand,Hmong_Mien
Karen_Thailand,Sino_Xizangan
Khmer_Thailand,Austroasiatic
Khonmueang_Thailand,Tai_Kadai
Kinh_Vietnam,Austroasiatic
Lachi_Vietnam,Tai_Kadai
Lahu_Thailand,Sino_Xizangan
Lahu_Vietnam,Sino_Xizangan
Lao_Laos,Tai_Kadai
Lao_Thailand,Tai_Kadai
Lawa_Thailand,Austroasiatic
Lolo_Vietnam,Sino_Xizangan
Lue_Thailand,Tai_Kadai
Mang_Vietnam,Austroasiatic
Mon_Thailand,Austroasiatic
Nung_Vietnam,Tai_Kadai
Nyahkur_Thailand,Austroasiatic
Pathen_Vietnam,Hmong_Mien
Phuan_Thailand,Tai_Kadai
Phula_Vietnam,Sino_Xizangan
Phutai_Thailand,Tai_Kadai
Shan_Thailand,Tai_Kadai
Sila_Vietnam,Sino_Xizangan
Suay_Thailand,Austroasiatic
Tay_Vietnam,Tai_Kadai
Thai_Vietnam,Tai_Kadai
Yuan_Thailand,Tai_Kadai
Dungan_Kazakhstan,Tibeto_Burman
Hazara_Afghanistan,Indo-European
Kyrgyz_Kyrgyzstan,Turkic
Tajik_Tajikistan,Indo-European
Turkmen_Turkmenistan,Indo-European
Punjabi_Pakistan,Indo-European
Bengali_Bangladesh,Indo-European
Bedouin_Israel,Others
Brahui_Pakistan,Others
Balochi_Pakistan,Indo-European
Burusho_Pakistan,Others
Hazara_Pakistan,Indo-European
Makrani_Pakistan,Indo-European
Sindhi_Pakistan,Indo-European
