,C1b,C2a,C2b,D1a,E1b,G2a,J1a,J2,J2a,J2b,N1a,N1b,O1a,O1b,O2a,O2b,Q1a,Q1b,R1a,R1b,R2,R2a,T1a
Han_Shaanxi,0,3,8,4,1,0,0,0,0,0,4,5,5,8,48,1,2,2,4,1,0,0,0
Han_Shandong,0,1,19,5,0,0,0,0,0,0,7,5,9,15,104,1,3,0,0,3,1,0,0
Han_Shanxi,0,1,10,0,0,0,2,0,3,0,8,6,5,15,65,0,9,1,2,1,0,0,1
Han_Gansu,0,3,4,2,0,0,0,0,0,0,4,1,4,3,23,0,4,0,1,0,0,1,0
Han_Henan,0,0,22,2,0,1,1,0,1,0,6,10,8,21,128,2,10,0,4,1,0,0,0
Han_Guangxi,0,0,5,9,0,0,0,0,0,0,2,4,19,40,89,0,1,0,0,0,0,0,0
Han_Chongqing,0,0,4,4,0,0,0,0,0,0,2,6,17,14,49,1,2,0,0,1,0,0,0
Han_Guangdong,0,0,2,1,0,0,0,0,0,0,1,8,18,32,71,5,1,0,0,0,0,0,0
Han_Fujian,0,0,9,0,0,0,0,0,0,0,4,2,25,8,51,1,1,0,1,0,0,0,0
Han_Hainan,0,0,3,2,0,0,0,0,0,0,0,5,12,9,42,1,0,0,0,0,0,0,0
Han_Sichuan,0,0,6,1,0,0,0,0,0,0,0,4,2,4,13,0,1,0,0,0,0,0,0
Hui_Sichuan,1,0,2,1,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,1,0,0,0
Hui_Hainan,4,0,6,0,0,0,0,3,0,7,0,0,22,13,2,0,0,0,0,0,0,0,0
Tanka_Fujian,0,0,2,1,0,0,0,0,0,0,0,2,13,17,22,0,0,0,0,0,0,0,0
