,Dim 1,Dim 2,Dim 3,Dim 4,Dim 5
C1b,0.842716161221366,0.048631375421065,0.00677492265381237,0.0341815155224016,0.000806393778305709
C2a,0.0421707921420844,0.397663896662455,0.516476184935442,0.0104703771912972,7.40315804544758e-05
C2b,0.000743032466442588,0.417515841465785,0.0572410678245972,0.176379542603145,0.0377242659800476
D1a,0.0490247889789908,0.0438273656525213,0.302476319270513,0.137222461341891,0.0125049045600178
E1b,0.0169423788158143,0.109242544963583,0.226878588016452,0.026494601180432,0.574358857322585
G2a,0.0344563457582212,0.044058408483173,0.151721100825843,0.0184981335034638,0.00394905201344964
J1a,0.0504184087455574,0.258222271343087,0.380226075679713,0.265794928809316,0.00865430259844038
J2,0.934630013764372,0.051170184403209,0.00201131992096392,0.00148761070775191,0.000785017199142765
J2a,0.042573081385046,0.243135988155437,0.338230587950572,0.295570495514454,0.0105809956698883
J2b,0.934630013764371,0.051170184403209,0.00201131992096392,0.00148761070775191,0.000785017199142766
N1a,0.174705011195635,0.567937674469504,0.00971069780866444,0.0465608654049304,0.0482486117697085
N1b,0.151636935662078,0.0178549575174197,0.0181043816879084,0.0209166164583896,0.0883464476422762
O1a,0.628605046151016,0.123937664476634,0.0450905282736236,0.0531745123467022,0.0179125440623247
O1b,0.169086631623107,0.427200372614866,0.000356434364946344,0.106628390823921,0.0461807861993444
O2a,0.768412008738291,0.0142277187771069,0.031247426024319,0.108735693322599,0.00631263112801723
O2b,0.0117458389070873,0.163936700276189,0.00135885583068151,0.00715909252730607,0.0434341947655534
Q1a,0.153044799264456,0.563964537037774,0.0376085933111409,0.140839021433651,0.0393842567880238
Q1b,0.0354259454683379,0.241795278315342,0.0659208416482452,0.00615051024626821,0.588992021279281
R1a,0.089246973256306,0.458260718932951,0.0534355950017269,0.00740390812650943,0.204975441162925
R1b,0.0610125091713852,0.0952598354325475,0.0376690235832993,0.415093993647802,0.00314121805012774
R2,0.0196009835401987,0.0072344766049023,0.00978200286628802,0.327581656250212,0.0794170438430522
R2a,0.00884998020415141,0.165791397480949,0.390869535799428,0.0475883909085952,0.274037622903763
T1a,0.0255251919032099,0.193412827157309,0.23376484956569,0.331844801152668,0.0139712801903234
