Dimension,Eigenvalue,VariancePercent,CumVariancePercent
1,0.290323101334991,48.874469634926,48.874469634926
2,0.104297413040838,17.5579577485432,66.4324273834692
3,0.0504135317045707,8.48687070768577,74.919298091155
4,0.0390118209287531,6.56744864124843,81.4867467324034
5,0.0308326960502494,5.19053309895597,86.6772798313594
6,0.0261274222598571,4.39842334284258,91.0757031742019
7,0.0169785538141166,2.85825622906773,93.9339594032697
8,0.0133848133403372,2.25326765305059,96.1872270563203
9,0.00912430619730932,1.53603217976652,97.7232592360868
10,0.00655343612293302,1.10323881675934,98.8264980528461
11,0.00428797017670268,0.721858740255421,99.5483567931015
12,0.0018151475267998,0.305571180087127,99.8539279731887
13,0.000867693995636656,0.146072026811324,100
